etat	ref	rubrique	comptes_brut	comptes_amort_deprec	formule	note
COMPTE-DE-RESULTAT	RH	Reprises de provisions, depreciations, subventions et autres reprises	+ 79			note 5D et 30 ; corrige : le libelle officiel de XA indique "Somme RA a RG", ce qui exclurait RH de la somme ; RH est un produit ordinaire et son exclusion romprait l'egalite bilan/resultat, donc le moteur l'inclut dans XA (voir formule XA)
COMPTE-DE-RESULTAT	XA	REVENUS DES ACTIVITES ORDINAIRES			somme RA a RH	corrige, voir note RH ci-dessus
COMPTE-DE-RESULTAT	TA	Achats de biens et services lies a l'activite	- 601			note 24
COMPTE-DE-RESULTAT	TB	Variation de stocks des achats de biens et services lies a l'activite	-/+ 6031			note 8
COMPTE-DE-RESULTAT	TC	Achats de marchandises et matieres premieres	- 602			note 24
COMPTE-DE-RESULTAT	TD	Autres achats	- 604, 605, 606, 608			note 24
COMPTE-DE-RESULTAT	TE	Variation de stocks de marchandises, de matieres premieres et autres	-/+ 6032, 6033, 6034, 6035			note 8
COMPTE-DE-RESULTAT	TF	Transports	- 61			note 25
COMPTE-DE-RESULTAT	TG	Services exterieurs	- 62, 63			note 26
COMPTE-DE-RESULTAT	TH	Impots et taxes	- 64			note 27
COMPTE-DE-RESULTAT	TI	Autres charges	- 65			note 28
COMPTE-DE-RESULTAT	TJ	Charges de personnel	- 66			note 29
COMPTE-DE-RESULTAT	TK	Frais financiers et charges assimilees	- 67			note 31
COMPTE-DE-RESULTAT	TL	Dotations aux amortissements, aux provisions, aux depreciations et autres	- 68, 69			note 5D et 30
COMPTE-DE-RESULTAT	XB	CHARGES DES ACTIVITES ORDINAIRES			somme TA a TL	
COMPTE-DE-RESULTAT	XC	RESULTAT DES ACTIVITES ORDINAIRES			XA + XB	XA - XB au sens comptable ; XB deja stocke negatif, d'ou l'addition
COMPTE-DE-RESULTAT	TM	Produits H.A.O.	+ 82, 84, 86, 88			note 32
COMPTE-DE-RESULTAT	TN	Charges H.A.O.	- 81, 83, 85, 87			note 32 ; compte 87 a solde variable (variation de stocks de dons en nature HAO)
COMPTE-DE-RESULTAT	XD	RESULTAT H.A.O.			TM + TN	TM - TN au sens comptable ; TN deja stocke negatif
COMPTE-DE-RESULTAT	XE	RESULTAT NET DE L'EXERCICE (+excedent, -deficit)			XC + XD	
