etat	ref	rubrique	comptes_brut	comptes_amort_deprec	formule	note
COMPTE-DE-RESULTAT	TE	Production stockée (ou déstockage)	+ 73			
COMPTE-DE-RESULTAT	TF	Production immobilisée	+ 72			
COMPTE-DE-RESULTAT	TG	Subventions d'exploitation	+ 71			
COMPTE-DE-RESULTAT	TH	Autres produits	+ 75			
COMPTE-DE-RESULTAT	TI	Transferts de charges d'exploitation	+ 781			
COMPTE-DE-RESULTAT	RC	Achats de matières premières et fournitures liées	- 602			
COMPTE-DE-RESULTAT	RD	Variation de stocks de matières premières et fournitures liées	-/+ 6032			
COMPTE-DE-RESULTAT	RE	Autres achats	- 604, 605, 608			
COMPTE-DE-RESULTAT	RF	Variation de stocks d'autres approvisionnements	-/+ 6033			
COMPTE-DE-RESULTAT	RG	Transports	- 61			
COMPTE-DE-RESULTAT	RH	Services extérieurs	- 62, 63			
COMPTE-DE-RESULTAT	RI	Impôts et taxes	- 64			
COMPTE-DE-RESULTAT	RJ	Autres charges	- 65			
COMPTE-DE-RESULTAT	XC	VALEUR AJOUTEE			XB + RA + RB + (somme TE à RJ)	compte 133 (corrigé: la maquette indiquait 132)
COMPTE-DE-RESULTAT	RK	Charges de personnel	- 66			corrigé: la maquette étiquetait RT
COMPTE-DE-RESULTAT	XD	EXCEDENT BRUT D'EXPLOITATION			XC + RK	compte 134 (corrigé: 133)
COMPTE-DE-RESULTAT	TJ	Reprises d'amortissements, provisions et dépréciations	+ 791, 798, 799			
COMPTE-DE-RESULTAT	RL	Dotations aux amortissements, aux provisions et dépréciations	- 681, 691			
COMPTE-DE-RESULTAT	XE	RESULTAT D'EXPLOITATION			XD + TJ + RL	compte 135 (corrigé: 134)
COMPTE-DE-RESULTAT	TK	Revenus financiers et assimilés	+ 77			
COMPTE-DE-RESULTAT	TL	Reprises de provisions et dépréciations financières	+ 797			
COMPTE-DE-RESULTAT	TM	Transferts de charges financières	+ 787			
COMPTE-DE-RESULTAT	RM	Frais financiers et charges assimilées	- 67			
COMPTE-DE-RESULTAT	RN	Dotations aux provisions et aux dépréciations financières	- 697			
COMPTE-DE-RESULTAT	XF	RESULTAT FINANCIER			somme TK à RN	compte 136 (corrigé: 135)
COMPTE-DE-RESULTAT	XG	RESULTAT DES ACTIVITES ORDINAIRES			XE + XF	compte 137 (corrigé: 136)
COMPTE-DE-RESULTAT	TN	Produits des cessions d'immobilisations	+ 82			
COMPTE-DE-RESULTAT	TO	Autres produits HAO	+ 84, 86, 88			
COMPTE-DE-RESULTAT	RO	Valeurs comptables des cessions d'immobilisations	- 81			
COMPTE-DE-RESULTAT	RP	Autres charges HAO	- 83, 85			
COMPTE-DE-RESULTAT	XH	RESULTAT HORS ACTIVITES ORDINAIRES			somme TN à RP	compte 138 (corrigé: étiquette XM, compte 137)
COMPTE-DE-RESULTAT	RQ	Participation des travailleurs	- 87			corrigé: la maquette étiquetait RR
COMPTE-DE-RESULTAT	RS	Impôts sur le résultat	- 89			
COMPTE-DE-RESULTAT	XI	RESULTAT NET			XG + XH + RQ + RS	comptes 131 (bénéfice) / 139 (perte)
