compte	libelle	classe
2211	Terrains d’exploitation agricole	2
2212	Terrains d’exploitation forestière	2
2218	Autres terrains	2
222	Terrains nus	2
2221	Terrains à bâtir	2
2228	Autres terrains nus	2
223	Terrains bâtis	2
2231	Pour bâtiments industriels et agricoles	2
2232	Pour bâtiments administratifs et commerciaux	2
2234	Pour bâtiments affectés aux autres opérations professionnelles	2
2235	Pour bâtiments affectés aux autres opérations non professionnelles	2
2238	Autres terrains bâtis	2
224	Travaux de mise en valeur des terrains	2
2241	Plantation d’arbres et d’arbustes	2
2245	Améliorations du fonds	2
2248	Autres travaux	2
225	Terrains de carrières - tréfonds	2
2251	Carrières	2
226	Terrains aménagés	2
2261	Parkings	2
227	Terrains mis en concession	2
228	Autres terrains	2
2281	Terrains - immeubles de placement	2
2285	Terrains des logements affectés au personnel	2
2286	Terrains de location - acquisition	2
2288	Divers terrains	2
229	Aménagements de terrains en cours	2
2291	Terrains agricoles et forestiers	2
2292	Terrains nus	2
2295	Terrains de carrières - tréfonds	2
2298	Autres terrains	2
23	Bâtiments, installations techniques et agencements	2
231	Bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre	2
2311	Bâtiments industriels	2
2312	Bâtiments agricoles	2
2313	Bâtiments administratifs et commerciaux	2
2314	Bâtiments affectés au logement du personnel	2
2315	Bâtiments - immeubles de placement	2
2316	Bâtiments de location - acquisition	2
232	Bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui	2
2321	Bâtiments industriels	2
2322	Bâtiments agricoles	2
2323	Bâtiments administratifs et commerciaux	2
2324	Bâtiments affectés au logement du personnel	2
2325	Bâtiments - immeubles de placement	2
2326	Bâtiments de location - acquisition	2
233	Ouvrages d’infrastructure	2
2331	Voies de terre	2
2332	Voies de fer	2
2333	Voies d’eau	2
2334	Barrages, Digues	2
2335	Pistes d’aérodrome	2
2338	Autres ouvrages d’infrastructures	2
234	Aménagements, agencements et installations techniques	2
2341	Installations complexes spécialisées sur sol propre	2
2342	Installations complexes spécialisées sur sol d’autrui	2
2343	Installations à caractère spécifique sur sol propre	2
2344	Installations à caractère spécifique sur sol d’autrui	2
2345	Aménagements et agencements des bâtiments	2
235	Aménagements de bureaux	2
2351	Installations générales	2
2358	Autres aménagements de bureaux	2
237	Bâtiments industriels, agricoles et commerciaux mis en concession	2
238	Autres installations et agencements	2
239	Bâtiments aménagements, agencements et installations en cours	2
2391	Bâtiments en cours	2
2392	Installations en cours	2
2393	Ouvrages d’infrastructure en cours	2
2394	Aménagements et agencements et installations techniques en cours	2
2395	Aménagements de bureaux en cours	2
2398	Autres installations et agencements en cours	2
24	Matériel, mobilier et actifs biologiques	2
241	Matériel et outillage industriel et commercial	2
2411	Matériel industriel	2
2412	Outillage industriel	2
2413	Matériel commercial	2
2414	Outillage commercial	2
2416	Matériel & outillage industriel et commercial de location-acquisition	2
242	Matériel et outillage agricole	2
2421	Matériel agricole	2
2422	Outillage agricole	2
2426	Matériel & outillage agricole de location-acquisition	2
243	Matériel d’emballage récupérable et identifiable	2
244	Matériel et mobilier	2
2441	Matériel de bureau	2
2442	Matériel informatique	2
2443	Matériel bureautique	2
2444	Mobilier de bureau	2
2445	Matériel et mobilier - immeubles de placement	2
2446	Matériel et mobilier de location - acquisition	2
2447	Matériel et mobilier des logements du personnel	2
245	Matériel de transport	2
2451	Matériel automobile	2
2452	Matériel ferroviaire	2
2453	Matériel fluvial, lagunaire	2
2454	Matériel naval	2
2455	Matériel aérien	2
2456	Matériel de transport de location-acquisition	2
2457	Matériel hippomobile	2
2458	Autres matériels de transport	2
246	Actifs biologiques	2
2461	Cheptel, animaux de trait	2
2462	Cheptel, animaux reproducteurs	2
2463	Animaux de garde	2
2465	Plantations agricoles	2
2468	Autres actifs biologiques	2
247	Agencements, aménagements du matériel et actifs biologiques	2
2471	Agencements et aménagements du matériel	2
2472	Agencements et aménagements des actifs biologiques	2
2478	Autres agencements, aménagements du matériel et actifs biologiques	2
248	Autres matériels et mobiliers	2
2481	Collections et œuvres d’art	2
2488	Divers matériels mobiliers	2
249	Matériels et actifs biologiques en cours	2
2491	Matériel et outillage industriel et commercial	2
2492	Matériel et outillage agricole	2
2493	Matériel d’emballage récupérable et identifiable	2
2494	Matériel et mobilier de bureau	2
2495	Matériel de transport	2
2496	Actifs biologiques	2
2497	Agencements aménagements du matériel et actifs biologiques	2
2498	Autres matériels et actifs biologiques en cours	2
25	Avances et acomptes versés sur immobilisations	2
251	Avances et acomptes versés sur immobilisations incorporelles	2
252	Avances et acomptes versés sur immobilisations corporelles	2
26	Titres de participation	2
261	Titres de participation dans des sociétés sous contrôle exclusif	2
262	Titres de participation dans des sociétés sous contrôle conjoint	2
263	Titres de participation dans des sociétés conférant une influence notable	2
265	Participations dans des organismes professionnels	2
266	Parts dans des groupements d’intérêt économique (GIE)	2
268	Autres titres de participation	2
27	Autres immobilisations financières	2
271	Prêts et créances	2
2711	Prêts participatifs	2
2712	Prêts aux associés	2
2713	Billets de fonds	2
2714	Titres prêtés	2
2718	Autres prêts et créances	2
272	Prêts au personnel	2
2721	Prêts immobiliers	2
2722	Prêts mobiliers et d’installation	2
2728	Autres prêts au personnel	2
273	Créances sur l’État	2
2731	Retenues de garantie	2
2733	Fonds réglementé	2
2734	Créances sur le concédant	2
2738	Autres créances sur l’État	2
274	Titres immobilisés	2
2741	Titres immobilisés de l’activité de portefeuille (TIAP)	2
2742	Titres participatifs	2
2743	Certificats d’investissement	2
2744	Parts de fonds commun de placement (FCP)	2
2745	Obligations	2
2746	Actions ou parts propres	2
2748	Autres titres immobilisés	2
275	Dépôts et cautionnements versés	2
2751	Dépôts pour loyers d’avance	2
2752	Dépôts pour l’électricité	2
2753	Dépôts pour l’eau	2
2754	Dépôts pour le gaz	2
2755	Dépôts pour le téléphone, le télex, la télécopie	2
2756	Cautionnements sur marchés publics	2
2757	Cautionnements sur autres opérations	2
2758	Autres dépôts et cautionnements	2
276	Intérêts courus	2
2761	Prêts et créances non commerciales	2
2762	Prêts au personnel	2
2763	Créances sur l’État	2
2764	Titres immobilisés	2
2765	Dépôts et cautionnements versés	2
2767	Créances rattachées à des participations	2
2768	Immobilisations financières diverses	2
277	Créances rattachées à des participations et avances à des GIE	2
2771	Créances rattachées à des participations (groupe)	2
2772	Créances rattachées à des participations (hors groupe)	2
2773	Créances rattachées à des sociétés en participation	2
2774	Avances à des Groupements d’intérêt économique (GIE)	2
278	Immobilisations financières diverses	2
2781	Créances diverses groupe	2
2782	Créances diverses hors groupe	2
2784	Banques dépôts à terme	2
2785	Or et métaux précieux [1]	2
2788	Autres immobilisations financières	2
28	Amortissements	2
281	Amortissements des immobilisations incorporelles	2
2811	Amortissements des frais de développement	2
2812	Amortissements des brevets, licences, concessions et droits similaires	2
2813	Amortissements des logiciels et sites internet	2
2814	Amortissements des marques	2
2815	Amortissements du fonds commercial	2
2816	Amortissements du droit au bail	2
2817	Amortissements des investissements de création	2
2818	Amortissements des autres droits et valeurs incorporels	2
282	Amortissements des terrains	2
2824	Amortissements des travaux de mise en valeur des terrains	2
283	Amortissements des bâtiments, installations techniques et agencements	2
2831	Amortissements des bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre	2
2832	Amortissements des bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui	2
2833	Amortissements des ouvrages d’infrastructure	2
2834	Amortissements des aménagements, agencements et installations techniques	2
2835	Amortissements des aménagements de bureaux	2
2837	Amortissements des bâtiments industriels, agricoles et commerciaux mis en concession	2
2838	Amortissements des autres installations et agencements	2
284	Amortissements du matériel	2
2841	Amortissements du matériel et outillage industriel et commercial	2
2842	Amortissements du matériel et outillage agricole	2
2843	Amortissements du matériel d’emballage récupérable et identifiable	2
2844	Amortissements du matériel et mobilier	2
2845	Amortissements du matériel de transport	2
2846	Amortissements des actifs biologiques	2
2847	Amortissements des agencements et aménagements du matériel et des actifs biologiques	2
2848	Amortissements des autres matériels	2
29	Dépréciations des immobilisations	2
291	Dépréciations des immobilisations incorporelles	2
2911	Dépréciations des frais de développement	2
2912	Dépréciations des brevets, licences, concessions et droits similaires	2
2913	Dépréciations des logiciels et sites internet	2
2914	Dépréciations des marques	2
2915	Dépréciations du fonds commercial	2
2916	Dépréciations du droit au bail	2
2917	Dépréciations des investissements de création	2
2918	Dépréciations des autres droits et valeurs incorporels	2
2919	Dépréciations des immobilisations incorporelles en cours	2
292	Dépréciations des terrains	2
2921	Dépréciations des terrains agricoles et forestiers	2
2922	Dépréciations des terrains nus	2
2923	Dépréciations des terrains bâtis	2
2924	Dépréciations des travaux de mise en valeur des terrains	2
2925	Dépréciations des terrains de gisement	2
2926	Dépréciations des terrains aménagés	2
2927	Dépréciations des terrains mis en concession	2
2928	Dépréciations des autres terrains	2
2929	Dépréciations des aménagements de terrains en cours	2
293	Dépréciations des bâtiments, installations techniques et agencements	2
2931	Dépréciations des bâtiments industriels, agricoles, administratifs et commerciaux sur sol propre	2
2932	Dépréciations des bâtiments industriels, agricoles, administratifs et commerciaux sur sol d’autrui	2
2933	Dépréciations des ouvrages d’infrastructures	2
2934	Dépréciations des aménagements, agencements et installations techniques	2
2935	Dépréciations des aménagements de bureaux	2
2937	Dépréciations des bâtiments industriels, agricoles et commerciaux mis en concession	2
2938	Dépréciations des autres installations et agencements	2
2939	Dépréciations des bâtiments et installations en cours	2
294	Dépréciations de matériel, du mobilier et de l’actif biologique	2
2941	Dépréciations du matériel et outillage industriel et commercial	2
2942	Dépréciations du matériel et outillage agricole	2
2943	Dépréciations du matériel d’emballage récupérable et identifiable	2
2944	Dépréciations du matériel et mobilier	2
2945	Dépréciations du matériel de transport	2
2946	Dépréciations des actifs biologiques	2
2947	Dépréciations des agencements et aménagements du matériel et des actifs biologiques	2
2948	Dépréciations des autres matériels	2
2949	Dépréciations de matériel en cours	2
295	Dépréciations des avances et acomptes versés sur immobilisations	2
2951	Dépréciations des avances et acomptes versés sur immobilisations incorporelles	2
2952	Dépréciations des avances et acomptes versés sur immobilisations corporelles	2
296	Dépréciations des titres de participation	2
2961	Dépréciations des titres de participation dans des sociétés sous contrôle exclusif	2
2962	Dépréciations des titres de participation dans les sociétés sous contrôle conjoint	2
2963	Dépréciations des titres de participation dans les sociétés conférant une influence notable	2
2965	Dépréciations des participations dans des organismes professionnels	2
2966	Dépréciations des parts dans des GIE	2
2968	Dépréciations des autres titres de participation	2
297	Dépréciations des autres immobilisations financières	2
2971	Dépréciations des prêts et créances	2
2972	Dépréciations des prêts au personnel	2
2973	Dépréciations des créances sur l’État	2
2974	Dépréciations des titres immobilisés	2
2975	Dépréciations des dépôts et cautionnements versés	2
2977	Dépréciations des créances rattachées à des participations et avances à des GIE	2
2978	Dépréciations des créances financières diverses	2
31	Marchandises	3
311	Marchandises A	3
3111	Marchandises A1	3
3112	Marchandises A2	3
312	Marchandises B	3
3121	Marchandises B1	3
3122	Marchandises B2	3
313	Actifs biologiques	3
3131	Animaux	3
3132	Végétaux	3
318	Marchandises hors activités ordinaires (HAO)	3
32	Matières premières et fournitures liées	3
321	Matières A	3
322	Matières B	3
323	Fournitures (A, B)	3
33	Autres approvisionnements	3
331	Matières consommables	3
332	Fournitures d’atelier et d’usine	3
333	Fournitures de magasin	3
334	Fournitures de bureau	3
335	Emballages	3
3351	Emballages perdus	3
3352	Emballages récupérables non identifiables	3
3353	Emballages à usage mixte	3
3358	Autres emballages	3
338	Autres matières	3
34	Produits en cours	3
341	Produits en cours	3
3411	Produits en cours P1	3
3412	Produits en cours P2	3
342	Travaux en cours	3
3421	Travaux en cours T1	3
3422	Travaux en cours T2	3
343	Produits intermédiaires en cours	3
3431	Produits intermédiaires A	3
3432	Produits intermédiaires B	3
344	Produits résiduels en cours	3
3441	Produits résiduels A	3
3442	Produits résiduels B	3
345	Actifs biologiques en cours	3
3451	Animaux	3
3452	Végétaux	3
35	Services en cours	3
351	Études en cours	3
3511	Études en cours E1	3
3512	Études en cours E2	3
352	Prestations de services en cours	3
3521	Prestations de services S1	3
3522	Prestations de services S2	3
36	Produits finis	3
361	Produits finis A	3
362	Produits finis B	3
363	Actifs biologiques	3
3631	Animaux	3
3632	Végétaux	3
3638	Autres stocks (activités annexes)	3
37	Produits intermédiaires et résiduels	3
371	Produits intermédiaires	3
3711	Produits intermédiaires A	3
3712	Produits intermédiaires B	3
372	Produits résiduels	3
3721	Déchets	3
3722	Rebuts	3
3723	Matières de Récupération	3
373	Actifs biologiques	3
3731	Animaux	3
3732	Végétaux	3
3738	Autres stocks (activités annexes)	3
38	Stocks en cours de route, en consignation ou en dépôt	3
381	Marchandises en cours de route	3
382	Matières premières et fournitures liées en cours de route	3
383	Autres approvisionnements en cours de route	3
386	Produits finis en cours de route	3
387	Stock en consignation ou en dépôt	3
3871	Stock en consignation	3
3872	Stock en dépôt	3
388	Stock provenant d’immobilisations mises hors service ou au rebut	3
39	Dépréciations des stocks et encours de production	3
391	Dépréciations des stocks de marchandises	3
392	Dépréciations des stocks de matières premières et fournitures liées	3
393	Dépréciations des stocks d’autres approvisionnements	3
394	Dépréciations des productions en cours	3
395	Dépréciations des services en cours	3
396	Dépréciations des stocks de produits finis	3
397	Dépréciations des stocks de produits intermédiaires et résiduels	3
398	Dépréciations des stocks en cours de route, en consignation ou en dépôt	3
40	Fournisseurs et comptes rattachés	4
401	Fournisseurs, dettes en compte	4
4011	Fournisseurs	4
4012	Fournisseurs groupe	4
4013	Fournisseurs sous-traitants	4
4016	Fournisseurs, réserve de propriété	4
4017	Fournisseur, retenues de garantie	4
402	Fournisseurs, effets à payer	4
4021	Fournisseurs - Effets à payer	4
4022	Fournisseurs - Groupe, effets à payer	4
4023	Fournisseurs - Sous-traitants, effets à payer	4
404	Fournisseurs, acquisitions courantes d’immobilisations	4
4041	Fournisseurs - Dettes en comptes, immobilisations incorporelles	4
4042	Fournisseurs - Dettes en comptes, immobilisations corporelles	4
4046	Fournisseurs - Effets à payer, immobilisations incorporelles	4
4047	Fournisseurs - Effets à payer, immobilisations corporelles	4
408	Fournisseurs, factures non parvenues	4
4081	Fournisseurs	4
4082	Fournisseurs groupe	4
4083	Fournisseurs sous-traitants	4
4086	Fournisseurs, intérêts courus	4
409	Fournisseurs débiteurs	4
4091	Fournisseurs - Avances et acomptes versés	4
4092	Fournisseurs - Groupe avances et acomptes versés	4
4093	Fournisseurs - Sous-traitants avances et acomptes versés	4
4094	Fournisseurs - Créances pour emballages et matériels à rendre	4
4098	Fournisseurs - Rabais, remises, ristournes et autres avoirs à obtenir	4
41	Clients et comptes rattachés	4
411	Clients	4
4111	Clients	4
4112	Clients - groupe	4
4114	Clients, État et Collectivités publiques	4
4115	Clients, organismes internationaux	4
4116	Clients, réserve de propriété	4
4117	Client, retenues de garantie	4
4118	Clients, dégrèvement de taxes sur la valeur ajoutée (TVA)	4
412	Clients, effets à recevoir en portefeuille	4
4121	Clients, effets à recevoir	4
4122	Clients - Groupe, effets à recevoir	4
4124	État et Collectivités publiques, effets à recevoir	4
4125	Organismes Internationaux, effets à recevoir	4
413	Clients, chèques, effets et autres valeurs impayées	4
4131	Clients, chèques impayés	4
4132	Clients, effets impayés	4
4133	Clients, cartes de crédit impayées	4
4138	Clients, autres valeurs impayées	4
414	Créances sur cessions courantes d’immobilisations	4
4141	Créances en compte, immobilisations incorporelles	4
4142	Créances en compte, immobilisations corporelles	4
4146	Effets à recevoir, immobilisations incorporelles	4
4147	Effets à recevoir, immobilisations corporelles	4
415	Clients, effets escomptés non échus	4
416	Créances clients litigieuses ou douteuses	4
4161	Créances litigieuses	4
4162	Créances douteuses	4
418	Clients, produits à recevoir	4
4181	Clients, factures à établir	4
4186	Clients, intérêts courus	4
419	Clients créditeurs	4
4191	Clients, avances et acomptes reçus	4
4192	Clients - groupe, avances et acomptes reçus	4
4194	Clients, dettes pour emballages et matériels consignés	4
4198	Clients, rabais, remises, ristournes et autres avoirs à accorder	4
42	Personnel	4
421	Personnel, avances et acomptes	4
4211	Personnel, avances	4
4212	Personnel, acomptes	4
4213	Frais avancés et fournitures au personnel	4
422	Personnel, rémunérations dues	4
423	Personnel, oppositions, saisies-arrêts	4
4231	Personnel, oppositions	4
4232	Personnel, saisies-arrêts	4
4233	Personnel, avis à tiers détenteur	4
424	Personnel, œuvres sociales internes	4
4241	Assistance médicale	4
4242	Allocations familiales	4
4245	Organismes sociaux rattachés à l’entité	4
4248	Autres œuvres sociales internes	4
425	Représentants du personnel	4
4251	Délégués du personnel	4
4252	Syndicats et Comités d’entreprises, d’Établissement	4
4258	Autres représentants du personnel	4
426	Personnel, participation aux bénéfices et au capital	4
4261	Participation aux bénéfices	4
4264	Participation au capital	4
427	Personnel - dépôts	4
428	Personnel, charges à payer et produits à recevoir	4
4281	Dettes provisionnées pour congés à payer	4
4286	Autres charges à payer	4
4287	Produits à recevoir	4
43	Organismes sociaux	4
431	Sécurité sociale	4
4311	Prestations familiales	4
4312	Accidents de travail	4
4313	Caisse de retraite obligatoire	4
4314	Caisse de retraite facultative	4
4318	Autres cotisations sociales	4
432	Caisses de retraite complémentaire	4
433	Autres organismes sociaux	4
4331	Mutuelle	4
4332	Assurances retraite	4
4333	Assurances et organismes de santé	4
438	Organismes sociaux, charges à payer et produits à recevoir	4
4381	Charges sociales sur gratifications à payer	4
4382	Charges sociales sur congés à payer	4
4386	Autres charges à payer	4
4387	Produits à recevoir	4
44	État et collectivités publiques	4
441	État, impôt sur les bénéfices	4
442	État, autres impôts et taxes	4
4421	Impôts et taxes d’État	4
4422	Impôts et taxes pour les collectivités publiques	4
4423	Impôts et taxes recouvrables sur des obligataires	4
4424	Impôts et taxes recouvrables sur des associés	4
4426	Droits de douane	4
4428	Autres impôts et taxes	4
443	État, TVA facturée	4
4431	TVA facturée sur ventes	4
4432	TVA facturée sur prestations de services	4
4433	TVA facturée sur travaux	4
4434	TVA facturée sur production livrée à soi-même	4
4435	TVA sur factures à établir	4
444	État, TVA due ou crédit de TVA	4
4441	État, TVA due	4
4449	État, crédit de TVA à reporter	4
445	État, TVA récupérable	4
4451	TVA récupérable sur immobilisations	4
4452	TVA récupérable sur achats	4
4453	TVA récupérable sur transport	4
4454	TVA récupérable sur services extérieurs et autres charges	4
4455	TVA récupérable sur factures non parvenues	4
4456	TVA transférée par d’autres entités	4
446	État, autres taxes sur le chiffre d’affaires	4
447	État, impôts retenus à la source	4
4471	Impôt Général sur le revenu	4
4472	Impôts sur salaires	4
4473	Contribution nationale	4
4474	Contribution nationale de solidarité	4
4478	Autres impôts et contributions	4
448	État, charges à payer et produits à recevoir	4
4486	Charges à payer	4
4487	Produits à recevoir	4
449	État, créances et dettes diverses	4
4491	État, obligations cautionnées	4
4492	État, avances et acomptes versés sur impôts	4
4493	État, fonds de dotation à recevoir	4
4494	État, subventions investissement à recevoir	4
4495	État, subventions d’exploitation à recevoir	4
4496	État, subventions d’équilibre à recevoir	4
4497	État, avances sur subventions	4
4499	État, fonds réglementés provisionnés	4
45	Organismes internationaux	4
451	Opérations avec les organismes africains	4
452	Opérations avec les autres organismes internationaux	4
458	Organismes internationaux, fonds de dotation et subventions à recevoir	4
4581	Organismes internationaux, fonds de dotation à recevoir	4
4582	Organismes internationaux, subventions à recevoir	4
46	Apporteurs, associés et groupe	4
461	Apporteurs, opérations sur le capital	4
4611	Apporteurs, apports en nature	4
4612	Apporteurs, apports en numéraire	4
4613	Apporteurs, capital appelé, non versé	4
4614	Apporteurs, compte d’apport, opérations de restructuration (fusion...)	4
4615	Apporteurs, versements reçus sur augmentation de capital	4
4616	Apporteurs, versements anticipés	4
4617	Apporteurs défaillants	4
4618	Apporteurs, titres à échanger	4
4619	Apporteurs, capital à rembourser	4
462	Associés [2], comptes courants	4
4621	Principal	4
4626	Intérêts courus	4
463	Associés [2], opérations faites en commun et GIE	4
4631	Opérations courantes	4
4636	Intérêts courus	4
465	Associés [2], dividendes à payer	4
466	Groupe, comptes courants	4
467	Apporteurs, restant dû sur capital appelé	4
47	Débiteurs et créditeurs divers	4
471	Débiteurs et créditeurs divers	4
4711	Débiteurs divers	4
4712	Créditeurs divers	4
4713	Obligataires	4
4715	Rémunérations d’administrateurs	4
4716	Compte d’affacturage	4
4717	Débiteurs divers - retenues de garantie	4
4718	Apport, compte de fusion et opérations assimilées	4
4719	Bons de souscription d’actions et d’obligations	4
472	Créances et dettes sur titres de placement	4
4721	Créances sur cessions de titres de placement	4
4726	Versements restant à effectuer sur titres de placement non libérés	4
473	Intermédiaires - Opérations faites pour compte de tiers	4
4731	Mandants	4
4732	Mandataires	4
4733	Commettants	4
4734	Commissionnaires	4
4739	État, Collectivités publiques, fonds global d’allocation	4
474	Compte de répartition périodique des charges et des produits	4
4746	Compte de répartition périodique des charges	4
4747	Compte de répartition périodique des produits	4
475	Compte transitoire, ajustement spécial lié à la révision du SYSCOHADA	4
4751	Compte actif	4
4752	Compte passif	4
476	Charges constatées d’avance	4
477	Produits constatés d’avance	4
478	Écarts de conversion - actif	4
4781	Diminution des créances d’exploitation	4
4782	Diminution des créances financières	4
4783	Augmentation des dettes d’exploitation	4
4784	Augmentation des dettes financières	4
4786	Différences d’évaluation sur instruments de trésorerie	4
4788	Différences compensées par couverture de change	4
479	Écarts de conversion - passif	4
4791	Augmentation des créances d’exploitation	4
4792	Augmentation des créances financières	4
